species	biosample	assembly	reads	read1	read2
Salmonella enterica	SAMN13012778	/cephfs/abteilung4/tausch/projects/ph4ge/data/genbank/bacteria/GCA_009009245.1/GCA_009009245.1_PDT000604429.1_genomic.fna.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR10258315.fastq.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR10258315_R1.fq.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR10258315_R2.fq.gz
Salmonella enterica	SAMN13064234	/cephfs/abteilung4/tausch/projects/ph4ge/data/genbank/bacteria/GCA_009239915.1/GCA_009239915.1_PDT000612090.1_genomic.fna.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR10313698.fastq.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR10313698_R1.fq.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR10313698_R2.fq.gz
Salmonella enterica	SAMN10872197	/cephfs/abteilung4/tausch/projects/ph4ge/data/genbank/bacteria/GCA_007657735.1/GCA_007657735.1_PDT000458974.1_genomic.fna.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR8528923.fastq.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR8528923_R1.fq.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR8528923_R2.fq.gz
Salmonella enterica	SAMN13064249	/cephfs/abteilung4/tausch/projects/ph4ge/data/genbank/bacteria/GCA_009239785.1/GCA_009239785.1_PDT000612108.1_genomic.fna.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR10313716.fastq.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR10313716_R1.fq.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR10313716_R2.fq.gz
Salmonella enterica	SAMN07255713	/cephfs/abteilung4/tausch/projects/ph4ge/data/genbank/bacteria/GCA_009439415.1/GCA_009439415.1_PDT000232643.2_genomic.fna.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR5921214.fastq.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR5921214_R1.fq.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR5921214_R2.fq.gz
Salmonella enterica	SAMN03098832	/cephfs/abteilung4/tausch/projects/ph4ge/data/genbank/bacteria/GCA_006629605.1/GCA_006629605.1_PDT000041084.2_genomic.fna.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR1616829.fastq.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR1616829_R1.fq.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR1616829_R2.fq.gz
Klebsiella pneumoniae	SAMN02927805	/cephfs/abteilung4/tausch/projects/ph4ge/data/genbank/bacteria/GCA_004302785.1/GCA_004302785.1_PDT000193293.1_genomic.fna.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR1561295.fastq.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR1561295_R1.fq.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR1561295_R2.fq.gz
Salmonella enterica	SAMEA6058467	/cephfs/abteilung4/tausch/projects/ph4ge/data/genbank/bacteria/GCA_009625195.1/GCA_009625195.1_PDT000607292.1_genomic.fna.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/ERR3581801.fastq.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/ERR3581801_R1.fq.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/ERR3581801_R2.fq.gz
E. coli	SAMN05980528	/cephfs/abteilung4/tausch/projects/ph4ge/data/genbank/bacteria/GCA_004268245.1/GCA_004268245.1_PDT000156783.2_genomic.fna.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR4897319.fastq.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR4897319_R1.fq.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR4897319_R2.fq.gz
Mycobacterium tuberculosis	SAMN02599008	/cephfs/abteilung4/tausch/projects/ph4ge/data/genbank/bacteria/GCA_000662585.1/GCA_000662585.1_Myco_tube_M1325_V1_genomic.fna.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR1180160.fastq.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR1180160_R1.fq.gz	/cephfs/abteilung4/tausch/projects/ph4ge/data/SRR1180160_R2.fq.gz
